dataset,n,algorithm,time_us,symbol_ops
random,100,quick_sort,84,693
random,100,merge_sort,142.857,603
random,100,string_quick_sort,68,534
random,100,string_merge_sort_lcp,545.429,513
random,100,msd_radix_sort,268.143,354
random,100,msd_radix_sort_switch,40.4286,257
random,200,quick_sort,185.714,1733
random,200,merge_sort,329.857,1505
random,200,string_quick_sort,105,1333
random,200,string_merge_sort_lcp,1206.43,1165
random,200,msd_radix_sort,397.857,796
random,200,msd_radix_sort_switch,128.571,617
random,300,quick_sort,445.714,4383
random,300,merge_sort,580.857,2538
random,300,string_quick_sort,206,2552
random,300,string_merge_sort_lcp,1823.71,1897
random,300,msd_radix_sort,543.857,1244
random,300,msd_radix_sort_switch,180.143,1059
random,400,quick_sort,528.857,4254
random,400,merge_sort,769,3685
random,400,string_quick_sort,323.286,3090
random,400,string_merge_sort_lcp,2537.71,2699
random,400,msd_radix_sort,763.286,1678
random,400,msd_radix_sort_switch,274.857,1509
random,500,quick_sort,676.857,6153
random,500,merge_sort,1854,4890
random,500,string_quick_sort,477.571,4460
random,500,string_merge_sort_lcp,3451.71,3524
random,500,msd_radix_sort,785.571,2104
random,500,msd_radix_sort_switch,306.571,1992
random,600,quick_sort,664.714,6736
random,600,merge_sort,1274.86,6125
random,600,string_quick_sort,371.714,5108
random,600,string_merge_sort_lcp,4176.86,4338
random,600,msd_radix_sort,882,2548
random,600,msd_radix_sort_switch,323.857,2563
random,700,quick_sort,918.571,8863
random,700,merge_sort,1472.14,7472
random,700,string_quick_sort,479.714,6548
random,700,string_merge_sort_lcp,4958.86,5254
random,700,msd_radix_sort,1071.29,2994
random,700,msd_radix_sort_switch,385.857,3113
random,800,quick_sort,1094,11026
random,800,merge_sort,1675.86,8827
random,800,string_quick_sort,562.286,6994
random,800,string_merge_sort_lcp,5733.29,6136
random,800,msd_radix_sort,1106.57,3434
random,800,msd_radix_sort_switch,413.714,3700
random,900,quick_sort,1372.14,12876
random,900,merge_sort,2063.86,10235
random,900,string_quick_sort,716.571,8946
random,900,string_merge_sort_lcp,6714.29,7033
random,900,msd_radix_sort,2106,3896
