prefix_percent,F0,N_base,N_avg
5.00,495,494.71,496.16
10.00,986,967.85,985.27
15.00,1477,1452.66,1469.64
20.00,1967,1944.38,1971.19
25.00,2457,2450.20,2457.30
30.00,2938,2911.77,2941.71
35.00,3422,3434.36,3433.68
40.00,3906,3899.20,3926.72
45.00,4395,4400.14,4421.21
50.00,4879,4887.71,4942.97
55.00,5362,5355.33,5456.35
60.00,5839,5816.57,5913.45
65.00,6322,6294.36,6395.84
70.00,6806,6782.61,6849.52
75.00,7290,7355.08,7316.27
80.00,7776,7813.49,7794.19
85.00,8260,8254.04,8314.58
90.00,8744,8807.42,8803.15
95.00,9233,9447.42,9316.21
100.00,9709,9926.10,9812.52
