prefix_percent,F0_mean,N_mean,N_std
5.00,498.00,498.31,6.24
10.00,992.26,993.24,13.18
15.00,1484.06,1484.42,21.34
20.00,1973.39,1973.02,26.52
25.00,2461.47,2463.00,36.00
30.00,2948.32,2949.69,38.91
35.00,3433.79,3435.02,50.39
40.00,3919.07,3916.94,60.67
45.00,4403.31,4402.30,66.78
50.00,4887.25,4887.66,74.48
55.00,5370.96,5370.46,80.68
60.00,5853.65,5854.69,80.57
65.00,6336.89,6335.87,90.89
70.00,6820.41,6831.78,102.31
75.00,7303.50,7306.37,102.87
80.00,7786.65,7782.62,117.21
85.00,8269.10,8268.81,132.73
90.00,8751.74,8742.82,136.18
95.00,9233.74,9221.43,149.44
100.00,9715.99,9716.34,172.55
