N,Wide_Relative_Error,Narrow_Relative_Error
100,0.382406,0.0757496
600,0.0979449,0.000491412
1100,0.0174641,0.0153821
1600,0.073609,0.0334169
2100,0.0441997,0.00330312
2600,0.0174465,0.00270489
3100,0.0691681,0.00350713
3600,0.0221428,0.0030738
4100,0.0334403,0.00263985
4600,0.0288558,0.00335811
5100,0.069689,0.00413714
5600,0.0091045,0.00156396
6100,0.0398607,0.00259603
6600,0.0346195,0.00896617
7100,0.0148258,0.000927873
7600,0.0180797,0.00270489
8100,0.0316736,0.000327451
8600,0.0365055,0.0115073
9100,0.0100942,0.007594
9600,0.0189262,0.00187484
10100,0.0134802,0.00750441
10600,0.0308824,0.00308076
11100,0.0181955,0.00264507
11600,0.0514253,0.000987536
12100,0.0369795,0.000784103
12600,0.0147905,0.00646523
13100,0.00810829,0.00113349
13600,0.00888826,0.0027637
14100,0.013993,0.000679793
14600,0.00733748,0.00439036
15100,0.0272553,0.00032948
15600,0.0228026,6.57438e-05
16100,0.0465853,0.00311064
16600,0.00142001,0.00558508
17100,0.0269156,0.00315888
17600,0.0180489,0.00303003
18100,0.0377817,0.00122067
18600,0.00775442,0.000222612
19100,0.0385797,0.00120992
19600,0.0158408,0.00156396
20100,0.0139603,0.00215154
20600,0.00615333,0.00734674
21100,0.0121423,0.00903388
21600,0.0111824,0.00368866
22100,0.0181452,0.00159186
22600,0.037977,0.00434689
23100,0.00231386,0.00307859
23600,0.0280149,0.00793105
24100,0.000280203,0.00532249
24600,0.015448,0.00680792
25100,0.0088189,0.00103817
25600,0.000832606,0.00109666
26100,0.00222679,0.00115291
26600,0.00898605,0.00220561
27100,0.0428432,0.00150422
27600,0.00321732,0.000395174
28100,0.0197618,0.0021141
28600,0.025022,0.00135823
29100,0.000672083,0.000603916
29600,0.0078853,0.00180753
30100,0.00299182,0.0014474
30600,0.0100331,0.0028939
31100,0.00781016,0.00806421
31600,0.00650752,0.00623524
32100,0.00238779,0.000450039
32600,0.0104603,0.000545731
33100,0.002085,3.44342e-06
33600,0.0172413,0.00266536
34100,0.00448434,0.00561025
34600,0.0114738,0.000133162
35100,0.0193569,0.00162653
35600,0.00185545,0.00371171
36100,0.0022359,8.9125e-07
36600,0.00626201,0.00263232
37100,0.0142356,0.00622658
37600,0.0226903,0.000509362
38100,0.00635944,0.00187892
38600,0.0152095,0.00152709
39100,0.0177991,0.00323137
39600,0.00696936,0.000749476
40100,0.00840995,0.00301952
40600,0.0132693,0.00177658
41100,0.000980329,0.00226866
41600,0.013735,0.000470129
42100,0.024221,0.00179041
42600,0.00305443,0.002065
43100,0.0238304,0.00331926
43600,0.00972843,0.0019556
44100,0.0188201,0.00193695
44600,0.0177839,0.000590671
45100,0.00695668,0.00177729
45600,0.0189826,0.000171041
46100,0.0230715,0.0064131
46600,0.00115876,0.00607302
47100,0.00593957,0.00390327
47600,0.00981689,0.0028753
48100,0.011978,0.00233214
48600,0.012168,0.00259558
49100,0.0110848,0.00225853
49600,0.02206,0.00489947
50100,0.00261436,0.000438395
50600,0.00999811,0.00157333
51100,0.0232507,0.00183423
51600,0.00398923,0.000229254
52100,0.00363966,0.0056746
52600,0.0141196,0.000912225
53100,0.015948,0.00284245
53600,0.0048594,0.000986992
54100,0.0329384,0.00157886
54600,0.0272496,0.00128423
55100,0.0186752,0.00528532
55600,0.0128468,0.00200074
56100,0.018198,0.00181713
56600,0.0265955,8.73766e-05
57100,0.00102147,0.00360992
57600,0.00391521,0.000791154
58100,0.0186935,0.00132966
58600,0.0237237,0.00141988
59100,0.00986409,0.00211532
59600,0.0117074,0.00123419
60100,0.00167624,0.00307372
60600,0.00125061,0.00213508
61100,0.0102868,0.00071602
61600,0.0146234,0.000680005
62100,0.024049,0.00164721
62600,0.00400134,0.00499631
63100,0.00257073,0.00079949
63600,0.00844557,0.00251695
64100,0.00507564,6.10935e-05
64600,0.00590067,0.00397666
65100,0.0171486,0.000919827
65600,0.00468863,0.00347421
66100,0.00394064,0.00349352
66600,0.0116332,0.000964297
67100,0.00365795,0.000141742
67600,8.81322e-05,0.00144047
68100,0.0102786,0.00164203
68600,0.00338692,0.00180596
69100,0.00419297,0.000331248
69600,0.012382,0.00155999
70100,0.0166954,0.00246807
70600,0.000856526,0.0014069
71100,0.0244011,0.000734241
71600,0.00531539,0.000782264
72100,0.00819438,0.00423026
72600,0.0116511,0.00148425
73100,0.00524479,0.00270011
73600,0.00242344,0.00394997
74100,0.000430065,0.00262717
