Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
500;446;252;183;180;148;144;126
600;552;283;209;216;167;175;147
700;673;390;333;238;241;212;226
800;743;494;367;287;290;243;218
900;749;418;307;256;276;234;237
1000;709;410;293;266;235;233;197
1100;729;443;319;312;256;257;217
1200;829;441;343;333;282;277;243
1300;1026;497;381;358;318;354;349
1400;984;583;489;383;380;320;278
1500;1199;836;552;464;477;395;361
1600;1123;745;558;433;431;376;323
1700;1188;768;581;462;484;395;390
1800;1234;804;682;500;486;419;417
1900;1288;813;613;511;853;465;439
2000;1537;853;650;634;541;534;468
2100;1451;877;670;665;569;563;492
2200;1556;904;694;691;591;588;538
2300;1465;935;726;718;617;613;491
2400;1849;973;765;815;707;704;684
2500;2330;1137;913;945;938;825;701
2600;1927;1066;847;807;724;683;609
2700;2001;1176;969;838;830;721;637
2800;2059;1272;1081;861;926;750;663
2900;2151;1392;1129;892;993;918;715
3000;2418;1623;1182;927;914;798;709
3100;2316;1593;1196;951;949;1117;771
3200;2343;1588;1219;989;971;873;751
3300;2410;1643;1256;1003;996;870;868
3400;2510;1646;1284;1032;1030;896;892
3500;2530;1656;1283;1062;1054;924;917
3600;2567;1673;1295;1128;1120;982;946
3700;3083;1711;1327;1121;1110;981;1027
3800;2713;1743;1354;1154;1147;1038;1001
3900;2823;1778;1385;1223;1171;1093;1027
4000;2829;1805;1411;1350;1220;1200;1052
4100;2884;1830;1441;1435;1225;1222;1089
4200;3017;1879;1485;1570;1903;1474;1096
4300;3163;2591;1431;1530;1426;1399;1268
4400;3227;1976;1537;1528;1317;1311;1156
4500;4213;2312;1939;1803;1523;1540;1545
4600;3551;2078;1659;1751;1500;1452;1260
4700;3596;2130;1664;1620;1400;1396;1241
4800;3586;2083;1664;1661;1435;1422;1273
4900;3772;2153;1882;1759;1607;1522;1356
5000;4215;2252;1885;1849;1544;1498;1378
5100;3897;2180;1746;1743;1515;1505;1377
5200;4012;2284;1858;1782;1621;1547;1378
5300;4069;2404;1990;1806;1742;1580;1407
5400;4143;2513;2100;1841;1828;1614;1447
5500;4201;2623;2384;1836;1823;1590;1440
5600;4298;2743;2355;1908;1897;1663;1504
5700;4331;2846;2424;1943;1930;1694;1517
5800;4462;2966;2452;1972;1975;1726;1610
5900;4576;3087;2621;2045;2017;1750;1580
6000;4624;3357;2747;2255;2066;1811;1915
6100;5305;4343;3212;2706;2516;2144;2019
6200;4821;3433;2597;2102;2095;1841;1654
6300;4839;3386;2625;2133;2166;1873;1682
6400;5049;3546;2793;2237;2223;1997;1787
6500;5292;3619;2688;2328;2491;1997;1900
6600;5002;3444;2731;2230;2216;1962;1950
6700;5184;3493;2762;2305;2295;2072;2074
6800;5148;3520;2775;2467;2148;1905;2021
6900;5234;3531;2815;2326;2440;2052;2051
7000;5342;4046;2808;2359;2501;2086;2121
7100;5277;3552;3002;2379;2377;2097;2095
7200;5446;3617;2618;2417;2455;2135;2152
7300;5443;3615;2860;2977;2532;2174;2163
7400;5479;3648;2880;2478;2480;2426;2193
7500;6304;4394;3038;2629;2605;2322;2966
7600;5828;3805;2954;2585;2536;2256;2260
7700;6007;4119;3742;2801;2761;2523;2456
7800;5880;3826;3048;2735;2606;2453;2329
7900;5923;3859;3063;2828;2640;2597;2473
8000;5921;3915;3093;2956;2669;2772;2424
8100;6170;3871;2934;2763;2724;2706;2429
8200;6022;4120;3155;3195;2826;2817;2828
8300;6411;4159;3188;3353;2781;2758;2500
8400;6268;4035;3274;3127;3210;2812;2502
8500;6488;4080;3279;3263;2838;2831;2529
8600;6541;4241;3317;3284;2868;2856;2631
8700;6532;4123;3326;3307;2915;2875;2579
8800;6653;4184;3375;3372;2937;2938;2627
8900;6833;4226;3404;3393;2949;2953;2642
9000;7102;4269;3445;3439;3234;2992;2908
9100;7108;4300;3656;3729;3096;2827;2707
9200;7037;4340;3501;3495;3091;3041;2650
9300;7212;4460;3615;3537;3093;3089;2915
9400;7440;4434;3571;3565;3174;3152;2803
9500;6977;4145;3556;3360;3441;3263;3053
9600;7490;4474;3636;3622;3180;3181;2862
9700;7755;4503;3661;3651;3215;3205;2882
9800;7719;4564;3938;3706;3268;3258;3018
9900;8187;4624;3797;3841;3319;3286;2964
10000;7998;4931;4064;3893;3568;3312;2989
10100;8739;5076;4118;4266;3625;3398;3075
10200;8327;4704;3831;3827;3368;3369;3111
10300;9292;5324;4353;4322;3879;3787;3434
10400;9288;5474;4667;4412;4041;3598;3443
10500;8927;5389;4467;4123;3882;3529;3330
10600;7938;5862;4342;4574;4139;3832;3994
10700;8586;5309;4575;4002;3987;3627;3302
10800;8742;5370;4834;4133;4128;3577;3329
10900;8871;5470;4701;4174;4078;3622;3318
11000;9623;5853;4965;4054;4212;3649;3363
11100;9103;5750;5058;4300;4221;3718;3326
11200;8965;5662;4901;4358;4287;4074;3871
11300;10099;6408;5321;4956;4641;3777;3786
11400;9774;6259;5272;4471;4153;3792;3304
11500;9691;6325;5415;4546;4405;3745;3621
11600;10128;6788;5494;4494;4401;4228;3529
11700;9580;6481;5585;4394;4461;3914;3720
11800;9507;6535;5547;4708;4407;3996;3552
11900;9548;6660;5390;4449;4671;3954;3727
12000;9588;6910;5569;4682;4493;3976;3623
12100;9717;6877;5482;4523;4468;3898;3640
12200;9718;7001;5547;4553;4521;4244;3676
12300;10168;7075;5537;4584;4554;4093;3701
12400;9973;7126;5578;4635;4600;4170;3738
12500;9972;7138;5629;4654;4762;3987;4028
12600;10024;7201;5704;4791;4671;4166;3791
12700;10317;7184;5687;5419;4691;4186;3838
12800;10270;7151;5722;4791;4736;4237;3863
12900;9994;7552;6274;5685;5047;4420;4219
13000;10809;7689;6038;5002;4963;4371;4209
13100;10358;7289;5845;4956;4925;4345;4325
13200;10724;7434;5876;4905;4937;4515;4506
