Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
500;227;135;104;92;86;88;110
600;411;157;156;127;132;183;232
700;338;210;185;140;130;140;145
800;407;263;212;178;184;175;191
900;409;266;197;185;190;180;170
1000;458;291;241;229;243;204;216
1100;541;318;257;262;260;252;254
1200;682;384;296;303;281;275;356
1300;686;416;499;301;299;318;314
1400;714;450;384;506;421;326;347
1500;803;575;431;384;342;338;365
1600;966;564;446;378;370;376;459
1700;845;585;488;417;391;391;385
1800;893;600;478;431;454;448;425
1900;935;618;501;465;448;490;465
2000;999;657;533;508;483;476;512
2100;1071;695;778;569;511;505;543
2200;1209;726;589;612;592;568;555
2300;1278;761;667;656;568;595;760
2400;1283;855;671;781;623;622;952
2500;1335;819;670;756;727;662;653
2600;1379;849;725;687;692;670;699
2700;1467;982;847;734;724;728;760
2800;1538;1001;876;805;810;729;831
2900;1550;1144;905;849;815;1110;802
3000;1601;1154;937;798;790;773;826
3100;1644;1198;991;838;834;814;863
3200;1708;1220;986;855;843;840;904
3300;1757;1383;1059;885;873;855;846
3400;1991;1289;1110;973;914;904;898
3500;2063;1293;1081;1008;1002;962;957
3600;1847;1292;1060;971;959;957;943
3700;1905;1326;1094;1036;1029;984;984
3800;1965;1357;1168;1030;1029;1014;1014
3900;2021;1390;1154;1074;1048;1048;1047
4000;2086;1413;1179;1133;1079;1097;1081
4100;2121;1449;1205;1196;1108;1119;1124
4200;2192;1509;1243;1228;1143;1133;1391
4300;2271;1502;1267;1257;1173;1174;1238
4400;2347;1555;1298;1306;1295;1297;1275
4500;2409;1570;1343;1313;1232;1218;1250
4600;2495;1588;1520;1350;1261;1261;1304
4700;3248;1808;1480;1398;1289;1714;1349
4800;2731;1662;1415;2144;1320;1313;1719
4900;2813;1967;1483;1576;1378;1398;1482
5000;2828;2057;1604;1744;1735;1474;1622
5100;3464;1775;1528;1514;1610;1680;1529
5200;3371;1842;1589;1607;1470;1453;1623
5300;3164;1899;1665;1564;1525;1506;1547
5400;3094;2131;1857;1851;1591;1634;1640
5500;3670;2211;1839;1678;1770;1802;1741
5600;3316;2248;1905;1824;1912;1669;1733
5700;3371;2260;2122;1938;1911;1744;1828
5800;3310;2381;1984;1723;1755;1800;1748
5900;3331;2369;2043;1804;1741;1680;1778
6000;3342;2488;2044;1787;1762;1700;1816
6100;3436;2540;2058;1799;1832;1752;1862
6200;3562;2643;2193;1822;1817;1773;1998
6300;3582;2604;2170;1971;1857;1798;1946
6400;3914;2622;2315;2249;1878;1817;2063
6500;3759;2684;2663;2094;1913;1869;2015
6600;3822;3373;2371;2001;1963;2044;2037
6700;3736;2943;2254;1980;2100;2156;1949
6800;4455;2932;2858;2246;2020;2136;2005
6900;3953;2998;2298;2124;2234;2118;2028
7000;4459;3157;2613;2177;2239;2605;2149
7100;4332;2954;2430;2277;2326;2160;2471
7200;4187;2796;2417;2267;2154;2105;2319
7300;4306;3384;2403;2308;2162;2232;2318
7400;4049;2996;2456;2191;2266;2244;2330
7500;4227;2950;2510;2295;2584;2421;2255
7600;4225;2962;2476;2271;2271;2258;2241
7700;4565;3076;2504;2338;2673;2310;2530
7800;4755;3558;2667;2537;2505;2359;2389
7900;4369;3069;2589;2463;2381;2419;2514
8000;4759;3205;3241;2699;2483;2399;2398
8100;5140;3390;3102;3099;2524;2616;3007
8200;4441;3087;2634;2624;2437;2430;2453
8300;4516;3128;2659;2653;2478;2465;2488
8400;4605;3167;2693;2683;2502;2497;2524
8500;4670;3202;2719;2711;2539;2524;2551
8600;4883;3380;2801;2844;2818;2739;2789
8700;4919;3303;2841;2800;2624;2641;2700
8800;4915;3358;2841;3091;2664;2641;2681
8900;5020;3370;2884;2885;2696;2687;2751
9000;5385;3389;2948;3005;2774;2876;3019
9100;5115;3937;2908;3348;3031;2725;3297
9200;5236;4197;2957;3130;3421;2754;3340
9300;5264;3989;2977;3166;2939;2789;3311
9400;5331;3485;3001;2994;2816;2803;2894
9500;5490;3569;3109;3392;2868;2976;3193
9600;5504;3636;3068;3122;3116;2907;3210
9700;5599;3666;3201;3200;3054;2976;3044
9800;5740;3825;3187;3131;3077;3277;3153
9900;6098;3791;3738;3432;3102;3212;3310
10000;6547;4446;3544;3193;3521;3110;3534
10100;6182;4258;3367;4324;3658;3296;3520
10200;6168;3775;3377;3303;3139;3320;3272
10300;6076;4006;3413;3388;3203;3155;3692
10400;6146;3911;3497;3323;3238;3179;3594
10500;6619;4079;3602;3458;3470;3353;3482
10600;6474;4116;3738;3446;3393;3441;3393
10700;6773;4545;3959;3678;3722;3751;3884
10800;6995;5272;3843;3552;3778;3660;3633
10900;6766;4665;4289;3823;3698;3577;3770
11000;6975;4467;4753;3513;4331;3362;4141
11100;6903;4689;4403;3797;3617;3435;4157
11200;7122;4856;4471;3924;3714;3769;3680
11300;7324;5769;4145;4328;3851;4560;3641
11400;6784;4811;4190;3826;3674;3542;3764
