Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
500;222;127;89;84;76;75;92
600;292;149;107;135;114;109;152
700;354;196;159;120;123;130;189
800;510;323;201;157;150;340;585
900;404;242;174;146;174;195;195
1000;416;261;187;184;163;159;197
1100;478;258;193;202;195;194;245
1200;580;286;212;207;205;214;292
1300;602;314;241;228;223;230;319
1400;672;388;334;269;266;251;345
1500;677;535;356;271;260;284;410
1600;768;493;348;281;282;299;433
1700;804;482;366;317;313;346;331
1800;824;517;362;380;362;396;379
1900;880;574;404;343;337;394;394
2000;943;548;447;427;415;421;512
2100;1045;631;510;496;462;436;475
2200;976;557;434;445;451;401;497
2300;1031;573;448;442;439;514;597
2400;1102;596;464;458;453;462;600
2500;1163;613;485;480;495;531;621
2600;1236;654;548;539;495;494;644
2700;1298;764;600;522;518;521;700
2800;1359;789;658;561;567;547;770
2900;1512;919;735;607;601;648;841
3000;1703;1188;903;729;696;668;1023
3100;1552;1067;749;659;606;640;870
3200;1490;1022;751;616;616;655;977
3300;1471;1008;778;704;657;691;718
3400;1562;1052;779;656;693;722;715
3500;1629;1064;783;733;751;785;747
3600;1654;1026;781;702;696;779;827
3700;1657;1045;842;726;760;814;857
3800;1727;1099;850;754;742;848;843
3900;1734;1085;849;829;786;850;928
4000;1839;1155;886;842;798;785;912
4100;2048;1319;1120;1135;1055;1210;1135
4200;2366;1454;1117;1169;1102;1090;1217
4300;1939;1222;918;912;953;1029;1260
4400;2325;1481;1152;1108;997;889;1063
4500;2072;1288;1042;957;912;908;1095
4600;2462;1405;1173;1217;1037;1088;1432
4700;2198;1272;995;989;998;1250;1407
4800;3237;1905;1549;1532;1539;1604;2096
4900;3354;1936;1578;1575;1554;1557;1855
5000;2403;1314;1079;1096;1080;1159;1335
5100;2518;1377;1123;1094;1053;1063;1363
5200;2966;1711;1311;1305;1482;1520;1782
5300;2649;1605;1361;1158;1185;1108;1505
5400;2658;1571;1340;1164;1191;1232;1499
5500;3632;2188;1814;1576;1558;1655;2165
5600;2822;1740;1466;1273;1302;1261;1622
5700;2878;1774;1520;1360;1203;1278;1686
5800;3917;2358;2233;1775;1691;1884;2393
5900;3567;2466;2026;1629;1365;1708;2329
6000;3278;2134;1848;1502;1228;1476;1993
6100;3075;2068;1649;1290;1340;1431;1920
6200;3586;2449;1914;1620;1773;1908;2656
6300;4157;2768;2147;1816;1925;2123;2784
6400;3201;2301;1736;1362;1388;1477;2028
6500;3209;2308;1651;1444;1429;1503;1661
6600;3227;2181;1751;1462;1440;1571;1506
6700;3333;2253;1759;1550;1489;1584;1581
6800;3332;2276;1755;1476;1572;1617;1708
6900;3327;2275;1740;1531;1572;1653;1688
7000;3315;2272;1716;1586;1545;1679;1737
7100;3524;2284;1756;1513;1595;1684;1886
7200;4009;2895;2309;2231;2121;2420;2440
7300;4981;3328;2574;2424;2429;2761;2738
7400;4967;3362;2723;2494;2225;2450;2454
7500;3524;2298;1803;1609;1625;1809;1826
7600;3622;2314;1777;1688;1671;1890;1877
7700;3606;2287;1848;1694;1678;1834;1913
7800;3677;2396;1855;1700;1691;1857;1947
7900;3981;2801;2206;2189;2066;2052;2376
8000;5343;3526;2816;2769;2686;2685;3148
8100;5398;3562;2862;2820;2727;2708;3199
8200;5475;3599;2952;2868;2739;2718;3244
8300;4413;2832;2270;2114;1779;1778;2131
8400;3883;2434;1945;1934;1824;1858;2234
8500;3948;2445;1958;1946;1834;1841;2155
8600;4002;2470;1976;1974;1875;1872;2223
8700;4045;2479;1995;1990;1884;1877;2240
8800;4158;2600;2035;2014;1935;1926;2298
8900;4225;2546;2041;2033;1947;1939;2343
9000;4264;2563;2058;2057;1973;1976;2350
9100;4330;2590;2116;2101;2003;2000;2398
9200;4408;2649;2110;2095;2013;2005;2515
9300;6534;4014;3279;3282;3242;3240;4088
9400;6817;3751;2917;2913;2835;2838;3600
9500;4626;2681;2170;2157;2087;2085;2547
9600;6094;3674;2982;3010;3493;3084;3815
9700;6912;4141;3413;3418;3381;3383;4253
9800;7035;4174;3472;3434;3410;3422;4355
9900;7130;4210;3484;3476;3477;3487;4415
10000;7213;4249;3538;3520;3546;3541;4528
10100;7296;4271;3564;3574;3651;3598;4570
